1, private, profundis:amethyst_caves, MONSTER, minecraft:spider, 80, 4, 4
324, river, wilderwild:cypress_wetlands, MONSTER, minecraft:witch, 5, 1, 1
325, river, wilderwild:cypress_wetlands, MONSTER, mythicmobs:chupacabra, 20, 1, 1
326, river, wilderwild:cypress_wetlands, MONSTER, mythicmounts:dragon, 80, 1, 1
327, river, wilderwild:cypress_wetlands, MONSTER, mythicmounts:geckotoalizard, 50, 1, 1
328, river, wilderwild:cypress_wetlands, CREATURE, minecraft:frog, 14, 4, 5
329, river, wilderwild:cypress_wetlands, CREATURE, minecraft:pig, 5, 2, 4
330, river, wilderwild:cypress_wetlands, CREATURE, minecraft:chicken, 5, 2, 4
331, river, wilderwild:cypress_wetlands, CREATURE, minecraft:cow, 6, 4, 4
332, river, wilderwild:cypress_wetlands, CREATURE, minecraft:rabbit, 10, 4, 4
333, river, wilderwild:cypress_wetlands, CREATURE, mythicmobs:drake, 5, 1, 4
334, river, wilderwild:cypress_wetlands, CREATURE, mythicmobs:kobold, 10, 3, 6
335, river, wilderwild:cypress_wetlands, CREATURE, mythicmobs:kobold_warrior, 8, 1, 3
336, river, wilderwild:cypress_wetlands, CREATURE, mythicmobs:mushroom_thing, 20, 3, 5
337, river, wilderwild:cypress_wetlands, CREATURE, uselessreptile:river_pikehorn, 5, 2, 6
338, river, wilderwild:cypress_wetlands, CREATURE, uselessreptile:wyvern, 5, 1, 1
339, river, wilderwild:cypress_wetlands, AMBIENT, minecraft:bat, 10, 8, 8
340, river, wilderwild:cypress_wetlands, AMBIENT, mythicmounts:firebird, 5, 1, 1
341, river, wilderwild:cypress_wetlands, AMBIENT, uselessreptile:moleclaw, 80, 1, 1
342, river, wilderwild:cypress_wetlands, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
343, river, wilderwild:cypress_wetlands, WATER_AMBIENT, minecraft:cod, 5, 2, 6
344, river, wilderwild:cypress_wetlands, WILDERWILDFIREFLIES, wilderwild:firefly, 5, 1, 2
345, forest, wilderwild:dark_birch_forest, MONSTER, minecraft:spider, 80, 4, 4
346, forest, wilderwild:dark_birch_forest, MONSTER, minecraft:zombie, 80, 4, 4
347, forest, wilderwild:dark_birch_forest, MONSTER, minecraft:zombie_villager, 5, 1, 1
348, forest, wilderwild:dark_birch_forest, MONSTER, minecraft:skeleton, 80, 4, 4
349, forest, wilderwild:dark_birch_forest, MONSTER, minecraft:creeper, 80, 4, 4
350, forest, wilderwild:dark_birch_forest, MONSTER, minecraft:slime, 80, 4, 4
351, forest, wilderwild:dark_birch_forest, MONSTER, minecraft:enderman, 10, 1, 4
352, forest, wilderwild:dark_birch_forest, MONSTER, minecraft:witch, 5, 1, 1
353, forest, wilderwild:dark_birch_forest, MONSTER, mythicmobs:chupacabra, 20, 1, 1
354, forest, wilderwild:dark_birch_forest, MONSTER, mythicmounts:dragon, 80, 1, 1
355, forest, wilderwild:dark_birch_forest, MONSTER, mythicmounts:geckotoalizard, 50, 1, 1
356, forest, wilderwild:dark_birch_forest, CREATURE, minecraft:sheep, 12, 4, 4
357, forest, wilderwild:dark_birch_forest, CREATURE, minecraft:pig, 10, 4, 4
358, forest, wilderwild:dark_birch_forest, CREATURE, minecraft:chicken, 10, 4, 4
359, forest, wilderwild:dark_birch_forest, CREATURE, minecraft:cow, 8, 4, 4
360, forest, wilderwild:dark_birch_forest, CREATURE, mythicmobs:drake, 5, 1, 4
361, forest, wilderwild:dark_birch_forest, CREATURE, mythicmobs:kobold, 10, 3, 6
362, forest, wilderwild:dark_birch_forest, CREATURE, mythicmobs:kobold_warrior, 8, 1, 3
363, forest, wilderwild:dark_birch_forest, CREATURE, mythicmobs:mushroom_thing, 20, 3, 5
364, forest, wilderwild:dark_birch_forest, AMBIENT, minecraft:bat, 10, 8, 8
365, forest, wilderwild:dark_birch_forest, AMBIENT, mythicmounts:firebird, 5, 1, 1
366, forest, wilderwild:dark_birch_forest, AMBIENT, uselessreptile:moleclaw, 80, 1, 1
367, forest, wilderwild:dark_birch_forest, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
368, forest, minecraft:dark_forest, MONSTER, minecraft:spider, 80, 4, 4
369, forest, minecraft:dark_forest, MONSTER, minecraft:zombie, 80, 4, 4
370, forest, minecraft:dark_forest, MONSTER, minecraft:zombie_villager, 5, 1, 1
371, forest, minecraft:dark_forest, MONSTER, minecraft:skeleton, 80, 4, 4
372, forest, minecraft:dark_forest, MONSTER, minecraft:creeper, 80, 4, 4
373, forest, minecraft:dark_forest, MONSTER, minecraft:slime, 80, 4, 4
374, forest, minecraft:dark_forest, MONSTER, minecraft:enderman, 10, 1, 4
375, forest, minecraft:dark_forest, MONSTER, minecraft:witch, 5, 1, 1
376, forest, minecraft:dark_forest, MONSTER, mythicmobs:chupacabra, 20, 1, 1
377, forest, minecraft:dark_forest, MONSTER, mythicmounts:dragon, 80, 1, 1
378, forest, minecraft:dark_forest, MONSTER, mythicmounts:geckotoalizard, 50, 1, 1
379, forest, minecraft:dark_forest, CREATURE, minecraft:sheep, 12, 4, 4
380, forest, minecraft:dark_forest, CREATURE, minecraft:pig, 10, 4, 4
381, forest, minecraft:dark_forest, CREATURE, minecraft:chicken, 10, 4, 4
382, forest, minecraft:dark_forest, CREATURE, minecraft:cow, 8, 4, 4
383, forest, minecraft:dark_forest, CREATURE, mythicmobs:drake, 5, 1, 4
384, forest, minecraft:dark_forest, CREATURE, mythicmobs:kobold, 10, 3, 6
385, forest, minecraft:dark_forest, CREATURE, mythicmobs:kobold_warrior, 8, 1, 3
386, forest, minecraft:dark_forest, CREATURE, mythicmounts:moth, 10, 1, 1
387, forest, minecraft:dark_forest, CREATURE, mythicmobs:mushroom_thing, 20, 3, 5
388, forest, minecraft:dark_forest, AMBIENT, minecraft:bat, 10, 8, 8
389, forest, minecraft:dark_forest, AMBIENT, mythicmounts:firebird, 5, 1, 1
390, forest, minecraft:dark_forest, AMBIENT, uselessreptile:moleclaw, 80, 1, 1
391, forest, minecraft:dark_forest, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
392, forest, minecraft:dark_forest, WILDERWILDFIREFLIES, wilderwild:firefly, 5, 1, 2
393, taiga, wilderwild:dark_taiga, MONSTER, minecraft:spider, 80, 4, 4
394, taiga, wilderwild:dark_taiga, MONSTER, minecraft:zombie, 80, 4, 4
395, taiga, wilderwild:dark_taiga, MONSTER, minecraft:zombie_villager, 5, 1, 1
396, taiga, wilderwild:dark_taiga, MONSTER, minecraft:skeleton, 80, 4, 4
397, taiga, wilderwild:dark_taiga, MONSTER, minecraft:creeper, 80, 4, 4
398, taiga, wilderwild:dark_taiga, MONSTER, minecraft:slime, 80, 4, 4
399, taiga, wilderwild:dark_taiga, MONSTER, minecraft:enderman, 10, 1, 4
400, taiga, wilderwild:dark_taiga, MONSTER, minecraft:witch, 5, 1, 1
401, taiga, wilderwild:dark_taiga, MONSTER, mythicmobs:chupacabra, 20, 1, 1
402, taiga, wilderwild:dark_taiga, MONSTER, mythicmounts:dragon, 80, 1, 1
403, taiga, wilderwild:dark_taiga, MONSTER, mythicmounts:geckotoalizard, 50, 1, 1
404, taiga, wilderwild:dark_taiga, CREATURE, minecraft:sheep, 12, 4, 4
405, taiga, wilderwild:dark_taiga, CREATURE, minecraft:pig, 10, 4, 4
406, taiga, wilderwild:dark_taiga, CREATURE, minecraft:chicken, 10, 4, 4
407, taiga, wilderwild:dark_taiga, CREATURE, minecraft:cow, 8, 4, 4
408, taiga, wilderwild:dark_taiga, CREATURE, mythicmobs:drake, 5, 1, 4
409, taiga, wilderwild:dark_taiga, CREATURE, mythicmobs:kobold, 10, 3, 6
410, taiga, wilderwild:dark_taiga, CREATURE, mythicmobs:kobold_warrior, 8, 1, 3
411, taiga, wilderwild:dark_taiga, CREATURE, mythicmobs:mushroom_thing, 20, 3, 5
412, taiga, wilderwild:dark_taiga, AMBIENT, minecraft:bat, 10, 8, 8
413, taiga, wilderwild:dark_taiga, AMBIENT, mythicmounts:firebird, 5, 1, 1
414, taiga, wilderwild:dark_taiga, AMBIENT, uselessreptile:moleclaw, 80, 1, 1
415, taiga, wilderwild:dark_taiga, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
416, ocean, minecraft:deep_cold_ocean, MONSTER, minecraft:spider, 80, 4, 4
417, ocean, minecraft:deep_cold_ocean, MONSTER, minecraft:zombie, 80, 4, 4
418, ocean, minecraft:deep_cold_ocean, MONSTER, minecraft:zombie_villager, 5, 1, 1
419, ocean, minecraft:deep_cold_ocean, MONSTER, minecraft:skeleton, 80, 4, 4
420, ocean, minecraft:deep_cold_ocean, MONSTER, minecraft:creeper, 80, 4, 4
421, ocean, minecraft:deep_cold_ocean, MONSTER, minecraft:slime, 80, 4, 4
422, ocean, minecraft:deep_cold_ocean, MONSTER, minecraft:enderman, 10, 1, 4
423, ocean, minecraft:deep_cold_ocean, MONSTER, minecraft:witch, 5, 1, 1
424, ocean, minecraft:deep_cold_ocean, MONSTER, minecraft:drowned, 5, 1, 1
425, ocean, minecraft:deep_cold_ocean, MONSTER, mythicmobs:chupacabra, 20, 1, 1
426, ocean, minecraft:deep_cold_ocean, MONSTER, mythicmounts:dragon, 80, 1, 1
427, ocean, minecraft:deep_cold_ocean, MONSTER, mythicmounts:geckotoalizard, 50, 1, 1
428, ocean, minecraft:deep_cold_ocean, CREATURE, mythicmobs:drake, 5, 1, 4
429, ocean, minecraft:deep_cold_ocean, CREATURE, mythicmobs:kobold, 10, 3, 6
430, ocean, minecraft:deep_cold_ocean, CREATURE, mythicmobs:kobold_warrior, 8, 1, 3
431, ocean, minecraft:deep_cold_ocean, CREATURE, mythicmobs:mushroom_thing, 20, 3, 5
432, ocean, minecraft:deep_cold_ocean, CREATURE, uselessreptile:river_pikehorn, 5, 2, 6
433, ocean, minecraft:deep_cold_ocean, AMBIENT, minecraft:bat, 10, 8, 8
434, ocean, minecraft:deep_cold_ocean, AMBIENT, mythicmounts:firebird, 5, 1, 1
435, ocean, minecraft:deep_cold_ocean, AMBIENT, uselessreptile:moleclaw, 80, 1, 1
436, ocean, minecraft:deep_cold_ocean, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
437, ocean, minecraft:deep_cold_ocean, WATER_CREATURE, minecraft:squid, 5, 1, 4
438, ocean, minecraft:deep_cold_ocean, WATER_CREATURE, varietyaquatic:anglerfish, 50, 1, 5
439, ocean, minecraft:deep_cold_ocean, WATER_CREATURE, varietyaquatic:barreleye, 25, 1, 1
440, ocean, minecraft:deep_cold_ocean, WATER_CREATURE, varietyaquatic:oarfish, 25, 1, 1
441, ocean, minecraft:deep_cold_ocean, WATER_CREATURE, varietyaquatic:seaangel, 25, 1, 1
442, ocean, minecraft:deep_cold_ocean, WATER_CREATURE, varietyaquatic:squidling, 5, 1, 1
443, ocean, minecraft:deep_cold_ocean, WATER_CREATURE, varietyaquatic:vampiresquid, 10, 1, 5
444, ocean, minecraft:deep_cold_ocean, WATER_AMBIENT, minecraft:cod, 15, 3, 6
445, ocean, minecraft:deep_cold_ocean, WATER_AMBIENT, minecraft:salmon, 15, 1, 5
446, private, minecraft:deep_dark, MONSTER, mythicmobs:chupacabra, 20, 1, 1
447, private, minecraft:deep_dark, MONSTER, mythicmounts:dragon, 80, 1, 1
448, private, minecraft:deep_dark, MONSTER, mythicmounts:geckotoalizard, 50, 1, 1
449, private, minecraft:deep_dark, CREATURE, mythicmobs:drake, 5, 1, 4
450, private, minecraft:deep_dark, CREATURE, mythicmobs:kobold, 10, 3, 6
451, private, minecraft:deep_dark, CREATURE, mythicmobs:kobold_warrior, 8, 1, 3
452, private, minecraft:deep_dark, CREATURE, mythicmobs:mushroom_thing, 20, 3, 5
453, private, minecraft:deep_dark, AMBIENT, mythicmounts:firebird, 5, 1, 1
454, private, minecraft:deep_dark, AMBIENT, uselessreptile:moleclaw, 80, 1, 1
455, ocean, minecraft:deep_frozen_ocean, MONSTER, minecraft:spider, 80, 4, 4
456, ocean, minecraft:deep_frozen_ocean, MONSTER, minecraft:zombie, 80, 4, 4
457, ocean, minecraft:deep_frozen_ocean, MONSTER, minecraft:zombie_villager, 5, 1, 1
458, ocean, minecraft:deep_frozen_ocean, MONSTER, minecraft:skeleton, 80, 4, 4
459, ocean, minecraft:deep_frozen_ocean, MONSTER, minecraft:creeper, 80, 4, 4
460, ocean, minecraft:deep_frozen_ocean, MONSTER, minecraft:slime, 80, 4, 4
461, ocean, minecraft:deep_frozen_ocean, MONSTER, minecraft:enderman, 10, 1, 4
462, ocean, minecraft:deep_frozen_ocean, MONSTER, minecraft:witch, 5, 1, 1
463, ocean, minecraft:deep_frozen_ocean, MONSTER, minecraft:drowned, 5, 1, 1
464, ocean, minecraft:deep_frozen_ocean, MONSTER, mythicmobs:chupacabra, 20, 1, 1
465, ocean, minecraft:deep_frozen_ocean, MONSTER, mythicmounts:dragon, 80, 1, 1
466, ocean, minecraft:deep_frozen_ocean, MONSTER, mythicmounts:geckotoalizard, 50, 1, 1
467, ocean, minecraft:deep_frozen_ocean, CREATURE, minecraft:polar_bear, 5, 1, 2
468, ocean, minecraft:deep_frozen_ocean, CREATURE, mythicmobs:drake, 5, 1, 4
469, ocean, minecraft:deep_frozen_ocean, CREATURE, mythicmobs:kobold, 10, 3, 6
470, ocean, minecraft:deep_frozen_ocean, CREATURE, mythicmobs:kobold_warrior, 8, 1, 3
471, ocean, minecraft:deep_frozen_ocean, CREATURE, mythicmobs:mushroom_thing, 20, 3, 5
472, ocean, minecraft:deep_frozen_ocean, AMBIENT, minecraft:bat, 10, 8, 8
473, ocean, minecraft:deep_frozen_ocean, AMBIENT, mythicmounts:firebird, 5, 1, 1
474, ocean, minecraft:deep_frozen_ocean, AMBIENT, uselessreptile:moleclaw, 80, 1, 1
475, ocean, minecraft:deep_frozen_ocean, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
476, ocean, minecraft:deep_frozen_ocean, WATER_CREATURE, minecraft:squid, 5, 1, 4
477, ocean, minecraft:deep_frozen_ocean, WATER_CREATURE, varietyaquatic:anglerfish, 50, 1, 5
478, ocean, minecraft:deep_frozen_ocean, WATER_CREATURE, varietyaquatic:giantglowingsquid, 10, 1, 1
479, ocean, minecraft:deep_frozen_ocean, WATER_CREATURE, varietyaquatic:vampiresquid, 10, 1, 5
480, ocean, minecraft:deep_frozen_ocean, WATER_AMBIENT, minecraft:salmon, 15, 1, 5
481, ocean, minecraft:deep_lukewarm_ocean, MONSTER, minecraft:spider, 80, 4, 4
482, ocean, minecraft:deep_lukewarm_ocean, MONSTER, minecraft:zombie, 80, 4, 4
483, ocean, minecraft:deep_lukewarm_ocean, MONSTER, minecraft:zombie_villager, 5, 1, 1
484, ocean, minecraft:deep_lukewarm_ocean, MONSTER, minecraft:skeleton, 80, 4, 4
485, ocean, minecraft:deep_lukewarm_ocean, MONSTER, minecraft:creeper, 80, 4, 4
486, ocean, minecraft:deep_lukewarm_ocean, MONSTER, minecraft:slime, 80, 4, 4
487, ocean, minecraft:deep_lukewarm_ocean, MONSTER, minecraft:enderman, 10, 1, 4
488, ocean, minecraft:deep_lukewarm_ocean, MONSTER, minecraft:witch, 5, 1, 1
489, ocean, minecraft:deep_lukewarm_ocean, MONSTER, minecraft:drowned, 5, 1, 1
490, ocean, minecraft:deep_lukewarm_ocean, MONSTER, mythicmobs:chupacabra, 20, 1, 1
491, ocean, minecraft:deep_lukewarm_ocean, MONSTER, mythicmounts:dragon, 80, 1, 1
492, ocean, minecraft:deep_lukewarm_ocean, MONSTER, mythicmounts:geckotoalizard, 50, 1, 1
493, ocean, minecraft:deep_lukewarm_ocean, CREATURE, mythicmounts:archelon, 5, 1, 1
494, ocean, minecraft:deep_lukewarm_ocean, CREATURE, mythicmobs:drake, 5, 1, 4
495, ocean, minecraft:deep_lukewarm_ocean, CREATURE, mythicmobs:kobold, 10, 3, 6
496, ocean, minecraft:deep_lukewarm_ocean, CREATURE, mythicmobs:kobold_warrior, 8, 1, 3
497, ocean, minecraft:deep_lukewarm_ocean, CREATURE, mythicmobs:mushroom_thing, 20, 3, 5
498, ocean, minecraft:deep_lukewarm_ocean, CREATURE, uselessreptile:river_pikehorn, 5, 2, 6
499, ocean, minecraft:deep_lukewarm_ocean, AMBIENT, minecraft:bat, 10, 8, 8
500, ocean, minecraft:deep_lukewarm_ocean, AMBIENT, mythicmounts:firebird, 5, 1, 1
501, ocean, minecraft:deep_lukewarm_ocean, AMBIENT, uselessreptile:moleclaw, 80, 1, 1
502, ocean, minecraft:deep_lukewarm_ocean, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
503, ocean, minecraft:deep_lukewarm_ocean, WATER_CREATURE, minecraft:squid, 8, 1, 4
504, ocean, minecraft:deep_lukewarm_ocean, WATER_CREATURE, minecraft:dolphin, 5, 1, 2
505, ocean, minecraft:deep_lukewarm_ocean, WATER_CREATURE, varietyaquatic:anglerfish, 50, 1, 5
506, ocean, minecraft:deep_lukewarm_ocean, WATER_CREATURE, varietyaquatic:barreleye, 25, 1, 1
507, ocean, minecraft:deep_lukewarm_ocean, WATER_CREATURE, varietyaquatic:clownfish, 50, 1, 2
508, ocean, minecraft:deep_lukewarm_ocean, WATER_CREATURE, varietyaquatic:cuttlefish, 50, 1, 2
509, ocean, minecraft:deep_lukewarm_ocean, WATER_CREATURE, varietyaquatic:giantglowingsquid, 10, 1, 1
510, ocean, minecraft:deep_lukewarm_ocean, WATER_CREATURE, varietyaquatic:jellyfish, 50, 2, 4
511, ocean, minecraft:deep_lukewarm_ocean, WATER_CREATURE, varietyaquatic:lionfish, 50, 1, 1
512, ocean, minecraft:deep_lukewarm_ocean, WATER_CREATURE, varietyaquatic:moonjelly, 50, 1, 1
513, ocean, minecraft:deep_lukewarm_ocean, WATER_CREATURE, varietyaquatic:oarfish, 25, 1, 1
514, ocean, minecraft:deep_lukewarm_ocean, WATER_CREATURE, varietyaquatic:opah, 50, 1, 1
515, ocean, minecraft:deep_lukewarm_ocean, WATER_CREATURE, varietyaquatic:seaangel, 25, 1, 1
516, ocean, minecraft:deep_lukewarm_ocean, WATER_CREATURE, varietyaquatic:shark, 50, 1, 2
517, ocean, minecraft:deep_lukewarm_ocean, WATER_CREATURE, varietyaquatic:spottedstingray, 50, 1, 1
518, ocean, minecraft:deep_lukewarm_ocean, WATER_CREATURE, varietyaquatic:squidling, 5, 1, 1
519, ocean, minecraft:deep_lukewarm_ocean, WATER_CREATURE, varietyaquatic:sunfish, 50, 1, 3
520, ocean, minecraft:deep_lukewarm_ocean, WATER_CREATURE, varietyaquatic:vampiresquid, 10, 1, 5
521, ocean, minecraft:deep_lukewarm_ocean, WATER_CREATURE, varietyaquatic:whaleshark, 50, 1, 2
522, ocean, minecraft:deep_lukewarm_ocean, WATER_CREATURE, varietyaquatic:yellowfin, 50, 1, 2
523, ocean, minecraft:deep_lukewarm_ocean, WATER_AMBIENT, minecraft:cod, 8, 3, 6
524, ocean, minecraft:deep_lukewarm_ocean, WATER_AMBIENT, minecraft:pufferfish, 5, 1, 3
525, ocean, minecraft:deep_lukewarm_ocean, WATER_AMBIENT, minecraft:tropical_fish, 25, 8, 8
526, ocean, minecraft:deep_lukewarm_ocean, WILDERWILDJELLYFISH, wilderwild:jellyfish, 5, 1, 1
527, ocean, minecraft:deep_ocean, MONSTER, minecraft:spider, 80, 4, 4
528, ocean, minecraft:deep_ocean, MONSTER, minecraft:zombie, 80, 4, 4
529, ocean, minecraft:deep_ocean, MONSTER, minecraft:zombie_villager, 5, 1, 1
530, ocean, minecraft:deep_ocean, MONSTER, minecraft:skeleton, 80, 4, 4
531, ocean, minecraft:deep_ocean, MONSTER, minecraft:creeper, 80, 4, 4
532, ocean, minecraft:deep_ocean, MONSTER, minecraft:slime, 80, 4, 4
533, ocean, minecraft:deep_ocean, MONSTER, minecraft:enderman, 10, 1, 4
534, ocean, minecraft:deep_ocean, MONSTER, minecraft:witch, 5, 1, 1
535, ocean, minecraft:deep_ocean, MONSTER, minecraft:drowned, 5, 1, 1
536, ocean, minecraft:deep_ocean, MONSTER, mythicmobs:chupacabra, 20, 1, 1
537, ocean, minecraft:deep_ocean, MONSTER, mythicmounts:dragon, 80, 1, 1
538, ocean, minecraft:deep_ocean, MONSTER, mythicmounts:geckotoalizard, 50, 1, 1
539, ocean, minecraft:deep_ocean, CREATURE, mythicmobs:drake, 5, 1, 4
540, ocean, minecraft:deep_ocean, CREATURE, mythicmobs:kobold, 10, 3, 6
541, ocean, minecraft:deep_ocean, CREATURE, mythicmobs:kobold_warrior, 8, 1, 3
542, ocean, minecraft:deep_ocean, CREATURE, mythicmobs:mushroom_thing, 20, 3, 5
543, ocean, minecraft:deep_ocean, CREATURE, uselessreptile:river_pikehorn, 5, 2, 6
544, ocean, minecraft:deep_ocean, AMBIENT, minecraft:bat, 10, 8, 8
545, ocean, minecraft:deep_ocean, AMBIENT, mythicmounts:firebird, 5, 1, 1
546, ocean, minecraft:deep_ocean, AMBIENT, uselessreptile:moleclaw, 80, 1, 1
547, ocean, minecraft:deep_ocean, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
548, ocean, minecraft:deep_ocean, WATER_CREATURE, minecraft:squid, 5, 1, 4
549, ocean, minecraft:deep_ocean, WATER_CREATURE, minecraft:dolphin, 5, 1, 2
550, ocean, minecraft:deep_ocean, WATER_CREATURE, varietyaquatic:anglerfish, 50, 1, 5
551, ocean, minecraft:deep_ocean, WATER_CREATURE, varietyaquatic:barreleye, 25, 1, 1
552, ocean, minecraft:deep_ocean, WATER_CREATURE, varietyaquatic:clownfish, 50, 1, 2
553, ocean, minecraft:deep_ocean, WATER_CREATURE, varietyaquatic:cuttlefish, 50, 1, 2
554, ocean, minecraft:deep_ocean, WATER_CREATURE, varietyaquatic:giantglowingsquid, 10, 1, 1
555, ocean, minecraft:deep_ocean, WATER_CREATURE, varietyaquatic:jellyfish, 50, 2, 4
556, ocean, minecraft:deep_ocean, WATER_CREATURE, varietyaquatic:lionfish, 50, 1, 1
557, ocean, minecraft:deep_ocean, WATER_CREATURE, varietyaquatic:moonjelly, 50, 1, 1
558, ocean, minecraft:deep_ocean, WATER_CREATURE, varietyaquatic:oarfish, 25, 1, 1
559, ocean, minecraft:deep_ocean, WATER_CREATURE, varietyaquatic:opah, 50, 1, 1
560, ocean, minecraft:deep_ocean, WATER_CREATURE, varietyaquatic:seaangel, 25, 1, 1
561, ocean, minecraft:deep_ocean, WATER_CREATURE, varietyaquatic:shark, 50, 1, 2
562, ocean, minecraft:deep_ocean, WATER_CREATURE, varietyaquatic:spottedstingray, 50, 1, 1
563, ocean, minecraft:deep_ocean, WATER_CREATURE, varietyaquatic:squidling, 5, 1, 1
564, ocean, minecraft:deep_ocean, WATER_CREATURE, varietyaquatic:sunfish, 50, 1, 3
565, ocean, minecraft:deep_ocean, WATER_CREATURE, varietyaquatic:vampiresquid, 10, 1, 5
566, ocean, minecraft:deep_ocean, WATER_CREATURE, varietyaquatic:whaleshark, 50, 1, 2
567, ocean, minecraft:deep_ocean, WATER_CREATURE, varietyaquatic:yellowfin, 50, 1, 2
568, ocean, minecraft:deep_ocean, WATER_AMBIENT, minecraft:cod, 10, 3, 6
569, desert, minecraft:desert, MONSTER, minecraft:spider, 80, 4, 4
570, desert, minecraft:desert, MONSTER, minecraft:zombie, 19, 4, 4
571, desert, minecraft:desert, MONSTER, minecraft:zombie_villager, 5, 1, 1
572, desert, minecraft:desert, MONSTER, minecraft:skeleton, 80, 4, 4
573, desert, minecraft:desert, MONSTER, minecraft:creeper, 80, 4, 4
574, desert, minecraft:desert, MONSTER, minecraft:slime, 80, 4, 4
575, desert, minecraft:desert, MONSTER, minecraft:enderman, 10, 1, 4
576, desert, minecraft:desert, MONSTER, minecraft:witch, 5, 1, 1
577, desert, minecraft:desert, MONSTER, minecraft:husk, 80, 4, 4
578, desert, minecraft:desert, MONSTER, mythicmobs:chupacabra, 20, 1, 1
579, desert, minecraft:desert, MONSTER, mythicmounts:dragon, 80, 1, 1
580, desert, minecraft:desert, MONSTER, mythicmounts:geckotoalizard, 50, 1, 1
581, desert, minecraft:desert, CREATURE, minecraft:rabbit, 5, 2, 3
582, desert, minecraft:desert, CREATURE, mythicmobs:drake, 5, 1, 4
583, desert, minecraft:desert, CREATURE, mythicmobs:kobold, 10, 3, 6
584, desert, minecraft:desert, CREATURE, mythicmobs:kobold_warrior, 8, 1, 3
585, desert, minecraft:desert, CREATURE, mythicmobs:mushroom_thing, 20, 3, 5
586, desert, minecraft:desert, CREATURE, mythicmounts:ridinglizard, 5, 2, 3
587, desert, minecraft:desert, AMBIENT, minecraft:bat, 10, 8, 8
588, desert, minecraft:desert, AMBIENT, mythicmounts:firebird, 5, 1, 1
589, desert, minecraft:desert, AMBIENT, uselessreptile:moleclaw, 80, 1, 1
590, desert, minecraft:desert, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
591, desert, minecraft:desert, WILDERWILDTUMBLEWEED, wilderwild:tumbleweed, 60, 1, 1
592, private, profundis:dirt_caves, MONSTER, minecraft:spider, 80, 4, 4
593, private, profundis:dirt_caves, MONSTER, minecraft:zombie, 80, 4, 4
594, private, profundis:dirt_caves, MONSTER, minecraft:zombie_villager, 5, 1, 1
595, private, profundis:dirt_caves, MONSTER, minecraft:skeleton, 80, 4, 4
596, private, profundis:dirt_caves, MONSTER, minecraft:creeper, 80, 4, 4
597, private, profundis:dirt_caves, MONSTER, minecraft:slime, 80, 4, 4
598, private, profundis:dirt_caves, MONSTER, minecraft:enderman, 10, 1, 4
599, private, profundis:dirt_caves, MONSTER, minecraft:witch, 5, 1, 1
600, private, profundis:dirt_caves, AMBIENT, minecraft:bat, 10, 8, 8
601, private, profundis:dirt_caves, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
602, private, stellarity:dragons_den, MONSTER, minecraft:enderman, 10, 4, 4
603, private, minecraft:dripstone_caves, MONSTER, minecraft:spider, 80, 4, 4
604, private, minecraft:dripstone_caves, MONSTER, minecraft:zombie, 80, 4, 4
605, private, minecraft:dripstone_caves, MONSTER, minecraft:zombie_villager, 5, 1, 1
606, private, minecraft:dripstone_caves, MONSTER, minecraft:skeleton, 80, 4, 4
607, private, minecraft:dripstone_caves, MONSTER, minecraft:creeper, 80, 4, 4
608, private, minecraft:dripstone_caves, MONSTER, minecraft:slime, 80, 4, 4
609, private, minecraft:dripstone_caves, MONSTER, minecraft:enderman, 10, 1, 4
610, private, minecraft:dripstone_caves, MONSTER, minecraft:witch, 5, 1, 1
611, private, minecraft:dripstone_caves, MONSTER, minecraft:drowned, 80, 4, 4
612, private, minecraft:dripstone_caves, MONSTER, mythicmobs:chupacabra, 20, 1, 1
613, private, minecraft:dripstone_caves, MONSTER, mythicmounts:dragon, 80, 1, 1
614, private, minecraft:dripstone_caves, MONSTER, mythicmounts:geckotoalizard, 50, 1, 1
615, private, minecraft:dripstone_caves, CREATURE, mythicmobs:drake, 5, 1, 4
616, private, minecraft:dripstone_caves, CREATURE, mythicmobs:kobold, 10, 3, 6
617, private, minecraft:dripstone_caves, CREATURE, mythicmobs:kobold_warrior, 8, 1, 3
618, private, minecraft:dripstone_caves, CREATURE, mythicmobs:mushroom_thing, 20, 3, 5
619, private, minecraft:dripstone_caves, AMBIENT, minecraft:bat, 10, 8, 8
620, private, minecraft:dripstone_caves, AMBIENT, mythicmounts:firebird, 5, 1, 1
621, private, minecraft:dripstone_caves, AMBIENT, uselessreptile:moleclaw, 80, 1, 1
622, private, minecraft:dripstone_caves, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
